segment_id,osm_way_id
de3be0055cbd482472fcd0e9b9b93ea827fa9479,603533021
f579b0c3a2c4cda5361a73efe7225b8885c989c6,87312410
25c87b2aa99d12331289d498584fc460b5640d6d,97817526
e110a4b6e78a1d59f25bdf93bdbcb9919817b9df,646072825
81760f7051510a98a047ca14d3f2d308150ed236,642129281
da38e91e512cac19ca6318f69efc5cf58730b331,194292593
dbb5c15ff7f346c8e2f55013a0ca980eedfcb255,505413553
abf26a60a2b40664f6aa91f4fd37573bd9f7c685,641612760
0b6f69b879b4926577c4f6bd0508dfef3d9f05fb,478535845
7d31fe67f05b68b6c07ca7b5ff7e1068907ffa76,174124423
78713abe33920c066b7fcd0a823260efd10a3f98,571385487
0e35df171f32cf5907eaee650b2e070f73a1550b,48161154
2e923ec4f32ac50a27622f5f2e454fa5f44cc251,478535966
36dd771cc1ab0ecc9be657cd6f9f5567442d26fc,25746076
8d42cf9ac864f889cb11a1c0dab1479a8d869adc,134820872
209a9753293a1c392bad1043cdb57d9588e11251,631046382
485b53de31e7565330fd6138a2c79768347df758,25850116
80455af83056e7d3ca281a6724cb7d0ac90fabf1,76776748
da7dae41bd02728c6c37670a750a5a18c1dd2807,173985923
803624a48a4157ea9224ecb8fcfbb391d4960b2f,192930769
4a8b8eed17d11af8db8830815242f51b9a363b44,540821687
6334c97a2ef0c8e14784fbb604666980b0df20c6,375245611
ddf1534bc59287966ed7c82b6f430cba3f31cdd3,462412791
aabbd75b26607f84f39a78b10da184f9e41a963c,188442793
176933f6ef42cf84a3d97ae58981aa391877a9b9,332539148
5bc61d324fc1b98420459a8003bb5ec1a3ff8741,478536049
7084c5b4d9d841274bafdb6230c5745dc49f562b,587338499
bee284297c673851e340f8e7fe1aef695d685380,241626056
018325ecb4c64b42ee582fd8c59552c0fb3798ff,554673642
3a7e8175a5a4a662544fdd639100b000504c2e4f,444190294
80abe17df2e8bf551f0f535605ae1823fdf59761,475765838
66073cff93fed20582143b9b6751087f31e9146d,98641833
dac8c67a41a734c8f8cd6b1762e70269ccda1240,148690830
965a4d152ed4fefd6fdcd933c3cf5884257aee98,188442774
c3f61d95b88a27b29c228fed784a935688f7d18a,188442774
c22eb79afd46ef057ec3aad1589c5630d0aa00cc,489663180
3c5ce51d2d081b0fd14bc7df8485739e9a1875d1,241623486
4ceef21a3c1c43bc98b9e927d09d7ead1bc6080e,378344521
a68723bd8e0aac008867cee1a08280a0b8d7fc14,568926906
d84995fddbdf6908048a6e7ce9bc32b929c2b000,184370037
6062ee630bde84781e66d782f4d3aefa443992a5,25737795
68ca7b3ab581652b227bfc54c408d68e14f0ef9d,102152594
e7c6bd2607d714e513b6de3ad0aa35553206bb1e,101074512
